gene,subclasses
NRIP3,Sncg
TEAD1,Sncg
CD81,Sncg
HS6ST3,Vip
KCNB2,Vip
NBEA,Vip
PDE4D,Vip
GRIK4,Vip
LIMCH1,Vip
AP1S2,Vip
DENND2A,Vip
GPD1,Vip
DYNC1I1,Vip
CRH,Vip
SLC35F4,Vip
PENK,Vip
SLC2A13,Vip
GRID1,Vip
IGSF3,Vip
CDH20,Vip
CAMK2A,Vip
SLC44A5,Vip
FSTL4,Vip
FXYD6,Vip
ABLIM1,Vip
NRXN2,Vip
KCNQ5,Vip
ZNF536,Vip
TMEM200A,Vip
PIK3R1,Vip
NPY1R,Vip
TIAM1,Vip
VSTM2L,Vip
ASIC1,Vip
SVIL,Vip
GALNT14,Vip
ANK3,Vip
HTR2C,Vip
SEZ6,Vip
KCNN2,Vip
SEMA5B,Vip
GRPR,Vip
GRM8,Vip
ADCY2,Vip
ENAH,Vip
SLC1A2,Vip
DLX1,Vip
BRINP3,Vip
RGS10,Vip
GRIA2,Vip
WNT5B,Vip
PDZRN4,Vip
CACNB2,Vip
MAN1A1,Sst Chodl
PTN,Sst Chodl
CPNE4,Sst Chodl
COL25A1,Sst Chodl
TRPM3,Sst Chodl
SLC4A4,Sst Chodl
LRRTM4,Sst Chodl
MPP7,Sst Chodl
HS3ST5,Sst Chodl
DPP6,Sst Chodl
ZMIZ1,Sst Chodl
FNDC1,Sst Chodl
DMD,Sst Chodl
KCND2,Sst Chodl
THSD7B,Sst Chodl
ELMO1,Sst Chodl
MAPK10,Sst Chodl
ADAMTS3,Sst Chodl
LOC728392,Sst Chodl
LYST,Sst Chodl
STARD5,Sst Chodl
RFTN1,Sst Chodl
PXYLP1,Sst Chodl
EML6,Sst Chodl
CACNA2D3,Sst Chodl
VWC2L,Sst Chodl
B3GAT1,Sst Chodl
FAM184A,Sst Chodl
PCP4,Sst Chodl
COLEC12,Sst Chodl
CTNNA2,Sst Chodl
CDH4,Sst Chodl
WWC1,Sst Chodl
EPHA5,Sst Chodl
PCDH9,Sst Chodl
ACSL1,Sst Chodl
INPP4B,Sst Chodl
EXT1,Sst Chodl
KCNN3,Sst Chodl
SFRP1,Sst Chodl
BACE2,Sst Chodl
STXBP6,Sst Chodl
POU3F2,Sst Chodl
PBX1,Sst Chodl
LYPD6B,Sst Chodl
CDH18,Sst Chodl
FXYD6,Sst Chodl
PREX1,Sst Chodl
MYO5B,Sst Chodl
TMEM117,Sst Chodl
RESP18,Sst Chodl
VSTM2B,Sst Chodl
UCHL1,Sst Chodl
SYT6,Sst Chodl
KCND3,Sst Chodl
BBS9,Sst Chodl
ADRA1A,Sst Chodl
ASH1L,Sst Chodl
RFFL,Sst Chodl
KCNK10,Sst Chodl
RGS17,Sst Chodl
TSHZ2,Sst Chodl
FRMD3,Sst Chodl
MYO16,Sst Chodl
SYT16,Sst Chodl
ADAMTS16,Sst Chodl
ST6GAL2,Sst Chodl
PTPRU,Sst Chodl
GRIN3A,Sst Chodl
SYT1,Sst Chodl
PDE4B,Sst Chodl
SRGAP2,Sst Chodl
CERS6,Sst Chodl
DRD1,Sst Chodl
NCAM1,Sst Chodl
DAP3,Sst Chodl
MDM1,Sst Chodl
EPHA3,Sst Chodl
DLGAP2,Sst Chodl
APBB2,Sst Chodl
CHD9,Sst Chodl
STMN2,Sst Chodl
DPY19L1,Sst Chodl
CDH13,Sst Chodl
SYT14,Sst Chodl
DSCAM,Sst Chodl
PCDH18,Sst Chodl
DNAH9,Sst Chodl
S100A10,Sst Chodl
ZBTB7C,Sst Chodl
DGKB,Sst Chodl
KCNT2,Sst Chodl
APBA2,Sst Chodl
FRY,Sst Chodl
PLXNA2,Sst Chodl
CACNB2,Sst Chodl
TIMP2,Sst Chodl
DOCK10,Sst Chodl
CYGB,Sst Chodl
ANKFN1,Sst Chodl
EPN2,Sst Chodl
PIK3CB,Sst Chodl
SH3GL3,Sst Chodl
COL11A1,Sst Chodl
TRHDE,Sst Chodl
ST6GALNAC2,Sst Chodl
NRSN2,Sst Chodl
SMARCA2,Sst Chodl
PRUNE2,Sst Chodl
SOX2,Sst Chodl
SLC7A3,Sst Chodl
HS3ST2,Sst Chodl
ZCCHC12,Sst Chodl
ARHGEF18,Sst Chodl
SAMD12,Sst Chodl
LRRC7,Sst Chodl
REEP1,Sst Chodl
IL1RAPL1,Sst Chodl
RIN2,Sst Chodl
LYPD6,Sst Chodl
IZUMO4,Sst Chodl
RIMBP2,Sst Chodl
PCED1B,Sst Chodl
GRIK3,Sst Chodl
MRAP2,Sst Chodl
NXPH1,Sst Chodl
PLEKHA7,Sst Chodl
BRINP2,Sst Chodl
ILDR2,Sst Chodl
SNX29,Sst Chodl
NTRK2,Sst Chodl
RPS6KA3,Sst Chodl
RAP1GAP2,Sst Chodl
GARNL3,Sst Chodl
SCCPDH,Sst Chodl
CASK,Sst Chodl
CNIH3,Sst Chodl
PRKAG2,Sst Chodl
DOCK9,Sst Chodl
ACHE,Sst Chodl
CLIC1,Sst Chodl
FRMD4B,Sst
CERS6,Sst
TMCC3,Sst
PRKCG,Sst
CADM2,Sst
RAB3B,Sst
PARK2,Sst
LRRC7,Sst
UNC13C,Sst
LYPD6B,Sst
CDH13,Sst
SEMA6D,Sst
LSAMP,Sst
GRM7,Sst
LYPD6,Sst
SEMA3A,Sst
CHRM3,Sst
ASIC2,Sst
RBP4,Sst
MKX,Sst
SH3KBP1,Sst
KLF5,Sst
ANO3,Sst
LAMA4,Sst
SPON1,Sst
GLCE,Sst
RBMS1,Sst
ELFN1,Sst
GDA,Sst
SASH1,Sst
FRMD5,Sst
CALB1,Sst
DLGAP2,Sst
PTPRR,Sst
MPPED1,Sst
UTRN,Sst
ADCY2,Sst
KCNQ3,Sst
GARNL3,Sst
CNTNAP5,Sst
PBX1,Sst
NRIP1,Sst
RELN,Sst
ARHGAP6,Sst
KIAA1324L,Sst
NAV2,Sst
CNTN1,Sst
KCNMB4,Sst
FGF14,Sst
SERPINI1,Sst
PTCHD4,Sst
RGS9,Sst
MASP1,Sst
RGS17,Sst
GRM3,Sst
CACNA2D2,Sst
PPP2R2B,Sst
RAB27B,Sst
VCL,Sst
ANKRD44,Sst
ERC2,Sst
TMEM91,Sst
KCND2,Sst
P3H2,Sst
MAFB,Sst
SLC8A3,Sst
XYLT1,Sst
CAMK1D,Sst
MCC,Sst
EFNA5,Sst
GABRA3,Sst
TMEM44,Sst
CNTNAP4,Pvalb
ME3,Pvalb
MAN1C1,Pvalb
NEK7,Pvalb
DOCK4,Pvalb
SLC35F3,Pvalb
TMEM132D,Pvalb
OPRD1,Pvalb
DGKI,Pvalb
PLA2G3,Pvalb
MYO1E,Pvalb
TNR,Pvalb
GPR176,Pvalb
PHLDA1,Pvalb
FRMPD1,Pvalb
PTPRE,Pvalb
TMEM44,Pvalb
KCNH7,Pvalb
SRRM4,Pvalb
ARHGAP5,Pvalb
ST3GAL6,Pvalb
PACSIN2,Pvalb
CAMTA1,Pvalb
SPECC1,Pvalb
KLHL32,Pvalb
ITPR1,Pvalb
HUNK,Pvalb
SLIT3,Pvalb
ST5,Pvalb
ARL15,Pvalb
KCNA1,Pvalb
PKP4,Pvalb
STARD9,Pvalb
KCNJ3,Pvalb
STAMBPL1,Pvalb
CUX1,Pvalb
CACNA1A,Pvalb
IQGAP2,Pvalb
MANBA,Pvalb
OSBPL1A,Pvalb
SORBS2,Pvalb
GABRG3,Pvalb
EXOC4,Pvalb
RTN4RL1,Pvalb
GRIA1,Pvalb
ZDHHC14,Pvalb
BCAN,Pvalb
MYO6,Pvalb
MAN1A2,Pvalb
GOT1,Pvalb
TTC39B,Pvalb
USP25,Pvalb
CDH18,Pvalb
FAM81A,Pvalb
LNX1,Pvalb
CEP83,Pvalb
CORO6,Pvalb
PRSS23,Pvalb
MPPED2,Pvalb
LGI2,Pvalb
ARHGAP26,Pvalb
KCNC3,Pvalb
WASF3,Pvalb
RARB,Pvalb
ANKRD29,Pvalb
PLCH2,Pvalb
ATP13A3,Pvalb
RCAN2,Pvalb
CIT,Pvalb
STRBP,Pvalb
MSI2,Pvalb
CPEB3,Pvalb
COX6A2,Pvalb
DIP2A,Pvalb
FUT9,Pvalb
CAP2,Pvalb
NEBL,Pvalb
WWOX,Pvalb
RBMS3,Pvalb
PPIP5K2,Pvalb
RBFOX1,Pvalb
ZFYVE9,Pvalb
HS3ST1,Pvalb
CACNG2,Pvalb
MSRB3,Pvalb
SNPH,Pvalb
BTBD3,Pvalb
DGKH,Pvalb
SH3RF3,Pvalb
SSBP2,Pvalb
ADAMTSL5,Pvalb
UTRN,Pvalb
PLEKHH2,Pvalb
ST6GALNAC5,Pvalb
ELAVL2,Pvalb
UBE3A,Pvalb
NCEH1,Pvalb
ANKRD33B,Pvalb
CHRM2,Pvalb
KLF3,Pvalb
ATP1B1,Pvalb
APBB2,Pvalb
WIPF3,Pvalb
GABRA1,Pvalb
GPRC5B,Pvalb
